NOM_MUN,POBTOT,POBFEM,POBMAS
Azcapotzalco,432205,227255,204950
Benito Juárez,434153,232032,202121
Coyoacán,614447,325337,289110
Cuajimalpa de Morelos,217686,113537,104149
Cuauhtémoc,545884,284933,260951
Gustavo A. Madero,1173351,609477,563874
Iztacalco,404695,212343,192352
Iztapalapa,1835486,947835,887651
La Magdalena Contreras,247622,129335,118287
Miguel Hidalgo,414470,219003,195467
Milpa Alta,152685,78314,74371
Tlalpan,699928,365051,334877
Tláhuac,392313,202123,190190
Venustiano Carranza,443704,233586,210118
Xochimilco,442178,226726,215452
Álvaro Obregón,759133,398130,361003
