ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS
09,Ciudad de MÃ©xico,002,Azcapotzalco,0001,Azcapotzalco,432205,227255,204950,11784,5702,6082,420056,221370,198686,410780,216806,193974,377144,200360,176784,361474,192669,168805,345123,184700,160423,14191,6954,7237,28721,14056,14665,35256,17270,17986,15670,7691,7979,16351,7969,8382,43088,21303,21785,115600,78650,45565,33085,90.19,70366,306611,54863
09,Ciudad de MÃ©xico,003,CoyoacÃ¡n,0001,CoyoacÃ¡n,614447,325337,289110,14791,7252,7539,599528,318019,281509,587692,312162,275530,543990,290668,253322,522992,280428,242564,500374,269320,231054,18061,8857,9204,37477,18494,18983,46646,22916,23730,20998,10240,10758,22618,11108,11510,63817,31569,32248,162387,126592,73584,53008,88.86,91327,432544,90448
09,Ciudad de MÃ©xico,004,Cuajimalpa de Morelos,0001,Cuajimalpa de Morelos,186693,97615,89078,6715,3260,3455,179869,94300,85569,174654,91709,82945,156708,83039,73669,148763,79085,69678,140419,74957,65462,7948,3883,4065,15213,7378,7835,18280,8978,9302,7945,3954,3991,8344,4128,4216,21403,11039,10364,54258,22800,12635,10165,91.25,37821,133841,14922
09,Ciudad de MÃ©xico,004,Cuajimalpa de Morelos,0010,Cruz Blanca,728,362,366,47,29,18,681,333,348,657,323,334,565,284,281,529,263,266,497,247,250,41,20,21,75,29,46,86,41,45,36,21,15,32,16,16,95,43,52,196,54,28,26,101.1,199,498,31
09,Ciudad de MÃ©xico,004,Cuajimalpa de Morelos,0020,San Lorenzo Acopilco,26042,13416,12626,1069,537,532,24969,12878,12091,24125,12473,11652,21077,10935,10142,19843,10308,9535,18586,9684,8902,1306,640,666,2586,1303,1283,2980,1515,1465,1234,627,607,1257,624,633,3137,1557,1580,7238,2658,1457,1201,94.11,6195,18194,1649
09,Ciudad de MÃ©xico,004,Cuajimalpa de Morelos,0050,La Venta,486,270,216,15,5,10,471,265,206,455,255,200,401,227,174,377,212,165,354,199,155,25,15,10,45,23,22,54,30,24,24,15,9,23,13,10,58,31,27,142,63,35,28,80,109,341,36
09,Ciudad de MÃ©xico,004,Cuajimalpa de Morelos,0054,Puerto las Cruces (Monte las Cruces),1233,648,585,65,35,30,1165,612,553,1128,594,534,973,505,468,914,475,439,857,447,410,61,33,28,131,74,57,146,78,68,59,30,29,57,28,29,150,83,67,368,94,48,46,90.28,316,868,46
09,Ciudad de MÃ©xico,004,Cuajimalpa de Morelos,0055,Teopazulco,80,40,40,1,0,1,79,40,39,77,39,38,65,32,33,60,28,32,59,27,32,5,3,2,9,5,4,10,7,3,5,4,1,1,1,0,9,2,7,19,9,4,5,100,20,53,7
09,Ciudad de MÃ©xico,004,Cuajimalpa de Morelos,0056,Valle de las Monjas,108,47,61,4,2,2,104,45,59,99,43,56,84,38,46,80,36,44,76,36,40,6,2,4,14,5,9,15,5,10,4,2,2,4,0,4,16,8,8,27,5,3,2,129.79,28,77,3
09,Ciudad de MÃ©xico,004,Cuajimalpa de Morelos,0057,ProlongaciÃ³n ConstituciÃ³n,131,65,66,8,3,5,123,62,61,120,62,58,107,55,52,104,53,51,95,47,48,4,1,3,12,6,6,9,5,4,3,2,1,9,6,3,24,10,14,39,5,4,1,101.54,27,100,4
09,Ciudad de MÃ©xico,004,Cuajimalpa de Morelos,0058,Paraje RÃ­o Borracho,80,44,36,3,2,1,77,42,35,76,42,34,66,36,30,59,32,27,56,29,27,1,0,1,10,6,4,15,8,7,7,4,3,3,3,0,14,5,9,22,3,2,1,81.82,21,57,2
09,Ciudad de MÃ©xico,004,Cuajimalpa de Morelos,0059,El Zarco,24,12,12,3,1,2,21,11,10,20,11,9,20,11,9,20,11,9,20,11,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,8,4,1,3,100,4,18,2
09,Ciudad de MÃ©xico,004,Cuajimalpa de Morelos,0062,Los Campesinos [Rancho],29,14,15,3,1,2,26,13,13,24,11,13,24,11,13,24,11,13,22,9,13,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,4,1,3,9,2,1,1,107.14,5,22,2
